,image,background_proportion,label,dataset,
0,impossa2,0.478675064,Impossible,Training,
0,impossa3,0.490613042,Impossible,Training,
0,impossa4,0.442482462,Impossible,Training,
0,impossa5,0.490353954,Impossible,Training,
0,impossa6,0.510263871,Impossible,Training,
0,impossa7,0.504264987,Impossible,Training,
0,impossa8,0.513113839,Impossible,Training,
0,impossb1,0.495894452,Impossible,Training,
0,impossb2,0.508211097,Impossible,Training,
0,impossb3,0.514648438,Impossible,Training,
0,impossb4,0.462093431,Impossible,Training,
0,impossb6,0.536830357,Impossible,Training,
0,impossc1,0.493164063,Impossible,Training,
0,impossc3,0.556501116,Impossible,Training,
0,impossc4,0.49344308,Impossible,Training,
0,impossc5,0.487822864,Impossible,Training,
0,impossc6,0.487444196,Impossible,Training,
0,impossg1,0.531808036,Impossible,Training,
0,impossg3,0.483219069,Impossible,Training,
0,impossg4,0.500956633,Impossible,Training,
0,impossg5,0.535295759,Impossible,Training,
0,impossg6,0.517578125,Impossible,Training,
0,impossg7,0.514768017,Impossible,Training,
0,impossh1,0.499043367,Impossible,Training,
0,impossh3,0.586256378,Impossible,Training,
0,impossh4,0.489815848,Impossible,Training,
0,impossh5,0.513333068,Impossible,Training,
0,impossh6,0.573899872,Impossible,Training,
0,impossi2,0.500259088,Impossible,Training,
0,impossi3,0.527662628,Impossible,Training,
0,impossi4,0.623086735,Impossible,Training,
0,impossi6,0.606863839,Impossible,Training,
0,newpossa2,0.513572226,Possible,Training,0.034897162
0,newpossa3,0.463468591,Possible,Training,-0.027144452
0,newpossa4,0.421037946,Possible,Training,-0.021444515
0,newpossa5,0.46743463,Possible,Training,-0.022919324
0,newpossa6,0.498983578,Possible,Training,-0.011280293
0,newpossa7,0.480608259,Possible,Training,-0.023656728
0,newpossa8,0.514688297,Possible,Training,0.001574458
0,newpossb1,0.481066645,Possible,Training,-0.014827806
0,newpossb2,0.470902423,Possible,Training,-0.037308673
0,newpossb3,0.469985651,Possible,Training,-0.044662787
0,newpossb4,0.435128348,Possible,Training,-0.026965083
0,newpossb6,0.494977679,Possible,Training,-0.041852679
0,newpossc1,0.425043846,Possible,Training,-0.068120217
0,newpossc3,0.561264349,Possible,Training,0.004763233
0,newpossc4,0.465601084,Possible,Training,-0.027841996
0,newpossc5,0.511798469,Possible,Training,0.023975606
0,newpossc6,0.472257653,Possible,Training,-0.015186543
0,newpossg1,0.477598852,Possible,Training,-0.054209184
0,newpossg3,0.456612723,Possible,Training,-0.026606346
0,newpossg4,0.498286033,Possible,Training,-0.002670599
0,newpossg5,0.492964764,Possible,Training,-0.042330995
0,newpossg6,0.500279018,Possible,Training,-0.017299107
0,newpossg7,0.517458546,Possible,Training,0.002690529
0,newpossh1,0.49609375,Possible,Training,-0.002949617
0,newpossh3,0.584901148,Possible,Training,-0.00135523
0,newpossh4,0.492785395,Possible,Training,0.002969547
0,newpossh5,0.511639031,Possible,Training,-0.001694037
0,newpossh6,0.573541135,Possible,Training,-0.000358737
0,newpossi2,0.466657366,Possible,Training,-0.033601722
0,newpossi3,0.521065848,Possible,Training,-0.006596779
0,newpossi4,0.621552136,Possible,Training,-0.001534598
0,newpossi6,0.536252392,Possible,Training,-0.070611448
0,impossa1,0.476203763,Impossible,Validation,
0,impossb5,0.536013233,Impossible,Validation,
0,impossc2,0.485909598,Impossible,Validation,
0,impossg2,0.457768654,Impossible,Validation,
0,impossg8,0.539182079,Impossible,Validation,
0,impossh2,0.452487245,Impossible,Validation,
0,impossi1,0.486288265,Impossible,Validation,
0,impossi5,0.521564094,Impossible,Validation,
0,newpossa1,0.500378667,Possible,Validation,0.024174904
0,newpossb5,0.526905293,Possible,Validation,-0.00910794
0,newpossc2,0.488978795,Possible,Validation,0.003069196
0,newpossg2,0.457728795,Possible,Validation,-3.98597E-05
0,newpossg8,0.510782047,Possible,Validation,-0.028400032
0,newpossh2,0.510801977,Possible,Validation,0.058314732
0,newpossi1,0.466697226,Possible,Validation,-0.01959104
0,newpossi5,0.492287149,Possible,Validation,-0.029276945
